date,moon_elongation,moon_illumination,moon_phase,merc_rx,venus_rx,mars_rx,jupiter_rx,saturn_rx,uranus_rx,neptune_rx,pluto_rx,hard_aspect_count,soft_aspect_count,aspect_count,stellium_flag,grand_cross_flag,t_square_flag,yod_flag,grand_trine_flag,stellium_vol_mult,stellium_bodies_count,stellium_sign,bradley_total,bradley_hard,bradley_soft,midpoint_hit_count,usp_hit_flag,usp_orb,confluence_score,confluence_bull_count,confluence_bear_count,confluence_interpretation,confluence_flags,close,log_return,return_pct,cum_return
2026-08-03,237.230000,0.770600,,0,0,0,0,0,0,0,0,6,13,21,0,0,0,0,0,1.000000,0,,22.500000,2.500000,20.000000,0,0,,2,2,0,PROBABILITY — two independent signals aligned,SOFT_DOMINANCE|BRADLEY_BULLISH,757.669983,,,
2026-08-04,249.610000,0.674200,,0,0,0,0,0,0,0,0,6,12,18,0,0,0,0,1,1.000000,0,,16.000000,-1.000000,17.000000,0,0,,3,3,0,CERTAINTY (Weingarten Rule of Three satisfied) — strong directional conviction,SOFT_DOMINANCE|GRAND_TRINE|BRADLEY_BULLISH,771.330017,0.017868,0.018029,0.018029
2026-08-05,262.280000,0.567200,last_quarter,0,0,0,0,0,0,0,0,7,10,16,0,0,1,0,1,1.000000,0,,8.000000,-6.000000,14.000000,0,0,,1,2,1,"POSSIBILITY — single signal, wait for confirmation",GRAND_TRINE|T_SQUARE|BRADLEY_BULLISH,769.789978,-0.001999,-0.001997,0.015996
2026-08-06,275.240000,0.454300,,0,0,0,0,0,0,0,0,6,10,15,0,0,0,0,1,1.000000,0,,10.000000,-4.000000,14.000000,0,0,,3,3,0,CERTAINTY (Weingarten Rule of Three satisfied) — strong directional conviction,SOFT_DOMINANCE|GRAND_TRINE|BRADLEY_BULLISH,768.559998,-0.001599,-0.001598,0.014373
2026-08-07,288.490000,0.341400,,0,0,0,0,0,0,0,0,7,15,21,0,0,0,0,1,1.000000,0,,20.500000,-0.500000,21.000000,0,0,,3,3,0,CERTAINTY (Weingarten Rule of Three satisfied) — strong directional conviction,SOFT_DOMINANCE|GRAND_TRINE|BRADLEY_BULLISH,773.260010,0.006097,0.006115,0.020576
2026-08-10,329.450000,0.069400,,0,0,0,0,0,0,0,0,8,13,20,0,0,1,0,1,1.000000,0,,11.500000,-7.500000,19.000000,0,0,,2,3,1,PROBABILITY — two independent signals aligned,SOFT_DOMINANCE|GRAND_TRINE|T_SQUARE|BRADLEY_BULLISH,773.030029,-0.000297,-0.000297,0.020273
2026-08-11,343.210000,0.021300,,0,0,0,0,0,0,0,0,10,16,25,0,0,1,0,1,1.000000,0,,23.000000,-1.000000,24.000000,0,0,,2,3,1,PROBABILITY — two independent signals aligned,SOFT_DOMINANCE|GRAND_TRINE|T_SQUARE|BRADLEY_BULLISH,770.559998,-0.003200,-0.003195,0.017013
2026-08-12,356.840000,0.000800,new,0,0,0,0,0,0,0,0,9,14,22,1,0,1,0,1,2.250000,4,Leo,20.500000,0.500000,20.000000,0,0,,2,3,1,PROBABILITY — two independent signals aligned,SOFT_DOMINANCE|GRAND_TRINE|T_SQUARE|STELLIUM|BRADLEY_BULLISH,772.489990,0.002502,0.002505,0.019560
2026-08-13,10.240000,0.008000,new,0,0,0,0,0,0,0,0,9,14,22,0,0,1,1,1,1.000000,0,,12.000000,-9.000000,21.000000,0,0,,1,3,2,"POSSIBILITY — single signal, wait for confirmation",SOFT_DOMINANCE|GRAND_TRINE|T_SQUARE|YOD|BRADLEY_BULLISH,777.880005,0.006953,0.006977,0.026674
2026-08-14,23.310000,0.040800,,0,0,0,0,0,0,0,0,6,14,21,0,0,1,0,1,1.000000,0,,13.000000,-7.000000,20.000000,0,0,,2,3,1,PROBABILITY — two independent signals aligned,SOFT_DOMINANCE|GRAND_TRINE|T_SQUARE|BRADLEY_BULLISH,776.340027,-0.001982,-0.001980,0.024641
2026-08-17,60.240000,0.251800,,0,0,0,0,0,0,0,0,5,13,17,0,0,0,0,1,1.000000,0,,14.500000,-3.500000,18.000000,0,0,,3,3,0,CERTAINTY (Weingarten Rule of Three satisfied) — strong directional conviction,SOFT_DOMINANCE|GRAND_TRINE|BRADLEY_BULLISH,772.669983,-0.004739,-0.004727,0.019798
2026-08-18,71.830000,0.344100,,0,0,0,0,0,0,0,0,7,12,19,0,0,0,0,1,1.000000,0,,9.500000,-7.500000,17.000000,0,0,,3,3,0,CERTAINTY (Weingarten Rule of Three satisfied) — strong directional conviction,SOFT_DOMINANCE|GRAND_TRINE|BRADLEY_BULLISH,767.450012,-0.006779,-0.006756,0.012908
2026-08-19,83.140000,0.440300,,0,0,0,0,0,0,0,0,6,9,15,0,0,0,0,0,1.000000,0,,11.000000,-4.000000,15.000000,0,0,,1,1,0,"POSSIBILITY — single signal, wait for confirmation",BRADLEY_BULLISH,,,,
